Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WebService,,,2017-11-17 13:14:19,2017-11-17 13:14:51,32.649s,FAILED
,,,,,,
Test Cases/TC05_SOAPService_Validation,,,2017-11-17 13:14:19,2017-11-17 13:14:20,1.243s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SOAP_Object)),,,2017-11-17 13:14:19,2017-11-17 13:14:20,0.450s,PASSED
verifyResponseStatusCode,,,2017-11-17 13:14:20,2017-11-17 13:14:20,0.011s,PASSED
verifyElementsCount,,,2017-11-17 13:14:20,2017-11-17 13:14:20,0.163s,PASSED
verifyElementText,,,2017-11-17 13:14:20,2017-11-17 13:14:20,0.051s,PASSED
,,,,,,
Test Cases/TC06_RESTService_Validation,,,2017-11-17 13:14:20,2017-11-17 13:14:51,30.951s,FAILED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(REST_Object)),,,2017-11-17 13:14:20,2017-11-17 13:14:51,30.756s,PASSED
verifyResponseStatusCode,,,2017-11-17 13:14:51,2017-11-17 13:14:51,0.004s,FAILED
